alpha,seed,steps,len,panic_ratio,death
0.0,1000,1931,100,0.05696530295183842,Collision
0.0,1001,1724,94,0.011020881670533642,Collision
0.0,1002,539,38,0.012987012987012988,Collision
0.0,1003,1734,101,0.0530565167243368,Collision
0.0,1004,405,29,0.024691358024691357,Collision
0.0,1005,465,37,0.06236559139784946,Collision
0.0,1006,1287,76,0.028749028749028748,Collision
0.0,1007,1289,83,0.022498060512024826,Collision
0.0,1008,1086,77,0.02117863720073665,Collision
0.0,1009,260,24,0.019230769230769232,Collision
0.0,1010,2049,109,0.041971693509028796,Collision
0.0,1011,1317,75,0.029612756264236904,Collision
0.0,1012,952,63,0.029411764705882353,Collision
0.0,1013,1009,67,0.014866204162537165,Collision
0.0,1014,1656,88,0.028985507246376812,Collision
0.0,1015,954,58,0.029350104821802937,Collision
0.0,1016,1157,74,0.03197925669835782,Collision
0.0,1017,1096,77,0.024635036496350366,Collision
0.0,1018,1111,68,0.018001800180018002,Collision
0.0,1019,1447,84,0.0248790601243953,Collision
0.0,1020,834,54,0.03237410071942446,Collision
0.0,1021,1187,73,0.020219039595619208,Collision
0.0,1022,1718,90,0.034924330616996506,Collision
0.0,1023,671,52,0.028315946348733235,Collision
0.0,1024,1321,76,0.03557910673732021,Collision
0.0,1025,648,45,0.013888888888888888,Collision
0.0,1026,1463,81,0.02734107997265892,Collision
0.0,1027,1792,97,0.040736607142857144,Collision
0.0,1028,1427,81,0.0350385423966363,Collision
0.0,1029,1005,71,0.012935323383084577,Collision
0.5,1000,1931,100,0.0523045054375971,Collision
0.5,1001,1724,94,0.011020881670533642,Collision
0.5,1002,539,38,0.012987012987012988,Collision
0.5,1003,1698,98,0.032391048292108364,Collision
0.5,1004,407,29,0.02702702702702703,Collision
0.5,1005,465,37,0.06236559139784946,Collision
0.5,1006,1287,76,0.027972027972027972,Collision
0.5,1007,1289,83,0.021722265321955005,Collision
0.5,1008,1086,77,0.02117863720073665,Collision
0.5,1009,260,24,0.019230769230769232,Collision
0.5,1010,2049,109,0.03806734992679356,Collision
0.5,1011,1317,75,0.023538344722854973,Collision
0.5,1012,952,63,0.028361344537815126,Collision
0.5,1013,1009,67,0.014866204162537165,Collision
0.5,1014,1656,88,0.027777777777777776,Collision
0.5,1015,954,58,0.029350104821802937,Collision
0.5,1016,1157,74,0.025064822817631807,Collision
0.5,1017,1096,77,0.024635036496350366,Collision
0.5,1018,1111,68,0.018001800180018002,Collision
0.5,1019,1447,84,0.0221147201105736,Collision
0.5,1020,834,54,0.027577937649880094,Collision
0.5,1021,1187,73,0.020219039595619208,Collision
0.5,1022,1718,90,0.023864959254947613,Collision
